sep=;
type;sourcename;sourceversion;device;unit;creationdate;startdate;enddate;value
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-26 22:44:40 +0300;2023-04-26 21:20:39 +0300;2023-04-26 21:34:30 +0300;15.84
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-26 22:44:40 +0300;2023-04-26 21:34:30 +0300;2023-04-26 21:52:06 +0300;17.993
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-26 22:44:40 +0300;2023-04-26 21:52:06 +0300;2023-04-26 22:07:09 +0300;17.155
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-26 22:44:40 +0300;2023-04-26 22:07:09 +0300;2023-04-26 22:17:45 +0300;14.188
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-27 00:07:33 +0300;2023-04-26 22:17:45 +0300;2023-04-26 23:17:45 +0300;73.681
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-27 00:07:33 +0300;2023-04-26 23:17:45 +0300;2023-04-27 00:06:42 +0300;60.108
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-27 00:23:03 +0300;2023-04-27 00:06:42 +0300;2023-04-27 00:15:15 +0300;11.093
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-27 00:31:08 +0300;2023-04-27 00:15:15 +0300;2023-04-27 00:28:19 +0300;17.794
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-27 01:07:58 +0300;2023-04-27 00:28:19 +0300;2023-04-27 00:33:47 +0300;8.728
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-27 12:16:05 +0300;2023-04-27 00:33:47 +0300;2023-04-27 01:33:47 +0300;73.911
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-27 12:16:05 +0300;2023-04-27 01:33:47 +0300;2023-04-27 02:33:47 +0300;73.911
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-27 12:16:05 +0300;2023-04-27 02:33:47 +0300;2023-04-27 03:33:47 +0300;73.911
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-27 12:16:05 +0300;2023-04-27 03:33:47 +0300;2023-04-27 04:33:47 +0300;73.911
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-27 12:16:05 +0300;2023-04-27 04:33:47 +0300;2023-04-27 05:33:47 +0300;73.911
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-27 12:16:05 +0300;2023-04-27 05:33:47 +0300;2023-04-27 06:33:47 +0300;73.911
